ACTIVE_MEM: committed memory (gb)
Stage1,,Stage2,,Stage3
time in interval: 100s,average committed memory (gb) per 30.0s,time in interval: 100s,average committed memory (gb) per 30.0s,time in interval: 100s,average committed memory (gb) per 30.0s
2014-04-15 22:28:29,3.5888900756835938,2014-04-15 22:46:14,3.168811798095703,2014-04-15 22:58:10,4.664253234863281
2014-04-15 22:28:59,3.6545562744140625,2014-04-15 22:46:44,3.163318634033203,2014-04-15 22:58:40,4.633354187011719
2014-04-15 22:29:29,3.6648597717285156,2014-04-15 22:47:14,3.1729049682617188,2014-04-15 22:59:10,4.638999938964844
2014-04-15 22:29:59,4.042400360107422,2014-04-15 22:47:44,3.828441619873047,2014-04-15 22:59:40,4.823448181152344
2014-04-15 22:30:29,4.042549133300781,2014-04-15 22:48:14,3.8303909301757812,2014-04-15 23:00:10,5.20880126953125
2014-04-15 22:30:59,3.997783660888672,2014-04-15 22:48:44,3.871917724609375,2014-04-15 23:00:40,5.375083923339844
2014-04-15 22:31:29,4.195831298828125,2014-04-15 22:49:14,4.060962677001953,2014-04-15 23:01:10,5.457305908203125
2014-04-15 22:31:59,4.147026062011719,2014-04-15 22:49:44,4.060787200927734,2014-04-15 23:01:40,5.499294281005859
2014-04-15 22:32:29,4.143947601318359,2014-04-15 22:50:14,4.060955047607422,2014-04-15 23:02:10,5.489288330078125
2014-04-15 22:32:59,4.1931610107421875,2014-04-15 22:50:44,4.054172515869141,2014-04-15 23:02:40,5.494609832763672
2014-04-15 22:33:29,4.187732696533203,2014-04-15 22:51:14,4.052825927734375,2014-04-15 23:03:10,5.4899139404296875
2014-04-15 22:33:59,4.241264343261719,2014-04-15 22:51:44,4.053741455078125,2014-04-15 23:03:40,5.496978759765625
2014-04-15 22:34:29,4.2400970458984375,2014-04-15 22:52:14,4.048801422119141,2014-04-15 23:04:10,5.482975006103516
2014-04-15 22:34:59,4.220516204833984,2014-04-15 22:52:44,4.049461364746094,2014-04-15 23:04:40,5.472286224365234
2014-04-15 22:35:29,4.366199493408203,2014-04-15 22:53:14,4.043872833251953,2014-04-15 23:05:10,5.497001647949219
2014-04-15 22:35:59,4.365776062011719,2014-04-15 22:53:44,4.042400360107422,2014-04-15 23:05:40,5.482921600341797
2014-04-15 22:36:29,4.5504608154296875,2014-04-15 22:54:14,4.04364013671875,2014-04-15 23:06:10,5.474765777587891
2014-04-15 22:36:59,4.545635223388672,2014-04-15 22:54:44,4.040348052978516,2014-04-15 23:06:40,5.496997833251953
2014-04-15 22:37:29,4.4858856201171875,2014-04-15 22:55:14,4.04437255859375,2014-04-15 23:07:10,5.496860504150391
2014-04-15 22:37:59,4.485889434814453,2014-04-15 22:55:44,4.044445037841797,2014-04-15 23:07:40,5.49688720703125
2014-04-15 22:38:29,4.4720001220703125,2014-04-15 22:56:14,4.0461578369140625,2014-04-15 23:08:10,5.496990203857422
2014-04-15 22:38:59,4.48583984375,,,2014-04-15 23:08:40,5.4969635009765625
2014-04-15 22:39:29,4.573696136474609,,,2014-04-15 23:09:10,5.486644744873047
2014-04-15 22:39:59,4.547172546386719,,,2014-04-15 23:09:40,5.483894348144531
2014-04-15 22:40:29,4.573863983154297,,,2014-04-15 23:10:10,5.497032165527344
2014-04-15 22:40:59,4.573722839355469,,,2014-04-15 23:10:40,5.489109039306641
2014-04-15 22:41:29,4.573764801025391,,,2014-04-15 23:11:10,5.480415344238281
2014-04-15 22:41:59,4.573772430419922,,,2014-04-15 23:11:40,5.497200012207031
2014-04-15 22:42:29,4.56280517578125,,,2014-04-15 23:12:10,5.498371124267578
2014-04-15 22:42:59,4.564159393310547,,,2014-04-15 23:12:40,5.498371124267578
2014-04-15 22:43:29,4.5294342041015625
2014-04-15 22:43:59,4.560081481933594
2014-04-15 22:44:29,4.573619842529297
