IOSTAT: time waiting on io
Stage1,,Stage2,,Stage3
time in interval: 100s,average time waiting on io per 30.0s,time in interval: 100s,average time waiting on io per 30.0s,time in interval: 100s,average time waiting on io per 30.0s
2014-04-15 22:27:59,19,2014-04-15 22:45:44,19,2014-04-15 22:57:40,19
2014-04-15 22:28:29,11,2014-04-15 22:46:14,5,2014-04-15 22:58:10,6
2014-04-15 22:28:59,16,2014-04-15 22:46:44,16,2014-04-15 22:58:40,13
2014-04-15 22:29:29,33,2014-04-15 22:47:14,7,2014-04-15 22:59:10,22
2014-04-15 22:29:59,29,2014-04-15 22:47:44,17,2014-04-15 22:59:40,36
2014-04-15 22:30:29,28,2014-04-15 22:48:14,10,2014-04-15 23:00:10,26
2014-04-15 22:30:59,29,2014-04-15 22:48:44,19,2014-04-15 23:00:40,18
2014-04-15 22:31:29,20,2014-04-15 22:49:14,23,2014-04-15 23:01:10,18
2014-04-15 22:31:59,26,2014-04-15 22:49:44,17,2014-04-15 23:01:40,31
2014-04-15 22:32:29,28,2014-04-15 22:50:14,13,2014-04-15 23:02:10,12
2014-04-15 22:32:59,24,2014-04-15 22:50:44,16,2014-04-15 23:02:40,19
2014-04-15 22:33:29,34,2014-04-15 22:51:14,17,2014-04-15 23:03:10,7
2014-04-15 22:33:59,9,2014-04-15 22:51:44,10,2014-04-15 23:03:40,21
2014-04-15 22:34:29,15,2014-04-15 22:52:14,16,2014-04-15 23:04:10,16
2014-04-15 22:34:59,15,2014-04-15 22:52:44,18,2014-04-15 23:04:40,16
2014-04-15 22:35:29,11,2014-04-15 22:53:14,24,2014-04-15 23:05:10,14
2014-04-15 22:35:59,15,2014-04-15 22:53:44,30,2014-04-15 23:05:40,15
2014-04-15 22:36:29,14,2014-04-15 22:54:14,19,2014-04-15 23:06:10,20
2014-04-15 22:36:59,16,2014-04-15 22:54:44,16,2014-04-15 23:06:40,15
2014-04-15 22:37:29,12,2014-04-15 22:55:14,13,2014-04-15 23:07:10,14
2014-04-15 22:37:59,19,2014-04-15 22:55:44,20,2014-04-15 23:07:40,19
2014-04-15 22:38:29,14,2014-04-15 22:56:14,18,2014-04-15 23:08:10,14
2014-04-15 22:38:59,23,,,2014-04-15 23:08:40,15
2014-04-15 22:39:29,24,,,2014-04-15 23:09:10,12
2014-04-15 22:39:59,22,,,2014-04-15 23:09:40,21
2014-04-15 22:40:29,23,,,2014-04-15 23:10:10,14
2014-04-15 22:40:59,16,,,2014-04-15 23:10:40,11
2014-04-15 22:41:29,18,,,2014-04-15 23:11:10,19
2014-04-15 22:41:59,22,,,2014-04-15 23:11:40,23
2014-04-15 22:42:29,15,,,2014-04-15 23:12:10,10
2014-04-15 22:42:59,19,,,2014-04-15 23:12:40,13
2014-04-15 22:43:29,17
2014-04-15 22:43:59,14
2014-04-15 22:44:29,22
