SAR: cpu load (all cores)
Stage1,,Stage2,,Stage3
time in interval: 100s,average cpu load (all cores) per 30.0s,time in interval: 100s,average cpu load (all cores) per 30.0s,time in interval: 100s,average cpu load (all cores) per 30.0s
2014-04-15 22:28:29,13.31,2014-04-15 22:46:14,9.54,2014-04-15 22:58:10,11.48
2014-04-15 22:28:59,15.07,2014-04-15 22:46:44,10.68,2014-04-15 22:58:40,10.25
2014-04-15 22:29:29,12.87,2014-04-15 22:47:14,10.04,2014-04-15 22:59:10,11.76
2014-04-15 22:29:59,15.66,2014-04-15 22:47:44,9.32,2014-04-15 22:59:40,9.79
2014-04-15 22:30:29,10.22,2014-04-15 22:48:14,10.94,2014-04-15 23:00:10,11.01
2014-04-15 22:30:59,13.8,2014-04-15 22:48:44,13.16,2014-04-15 23:00:40,10.76
2014-04-15 22:31:29,16.68,2014-04-15 22:49:14,15.57,2014-04-15 23:01:10,11.61
2014-04-15 22:31:59,14.44,2014-04-15 22:49:44,4.31,2014-04-15 23:01:40,10.89
2014-04-15 22:32:29,11.4,2014-04-15 22:50:14,3.94,2014-04-15 23:02:10,10.45
2014-04-15 22:32:59,12.74,2014-04-15 22:50:44,3.92,2014-04-15 23:02:40,11.27
2014-04-15 22:33:29,11.43,2014-04-15 22:51:14,3.94,2014-04-15 23:03:10,10.97
2014-04-15 22:33:59,13.79,2014-04-15 22:51:44,3.83,2014-04-15 23:03:40,10.07
2014-04-15 22:34:29,9.95,2014-04-15 22:52:14,3.94,2014-04-15 23:04:10,10.6
2014-04-15 22:34:59,13.95,2014-04-15 22:52:44,3.95,2014-04-15 23:04:40,10.74
2014-04-15 22:35:29,15.21,2014-04-15 22:53:14,3.87,2014-04-15 23:05:10,10.22
2014-04-15 22:35:59,10.51,2014-04-15 22:53:44,3.91,2014-04-15 23:05:40,10.11
2014-04-15 22:36:29,15.25,2014-04-15 22:54:14,3.88,2014-04-15 23:06:10,10.16
2014-04-15 22:36:59,12.85,2014-04-15 22:54:44,3.88,2014-04-15 23:06:40,9.34
2014-04-15 22:37:29,11.89,2014-04-15 22:55:14,3.9,2014-04-15 23:07:10,10.66
2014-04-15 22:37:59,4.41,2014-04-15 22:55:44,3.9,2014-04-15 23:07:40,10.03
2014-04-15 22:38:29,4.14,2014-04-15 22:56:14,3.92,2014-04-15 23:08:10,11.13
2014-04-15 22:38:59,4.3,,,2014-04-15 23:08:40,9.78
2014-04-15 22:39:29,4.26,,,2014-04-15 23:09:10,9.96
2014-04-15 22:39:59,4.41,,,2014-04-15 23:09:40,10.64
2014-04-15 22:40:29,4.43,,,2014-04-15 23:10:10,10.54
2014-04-15 22:40:59,4.6,,,2014-04-15 23:10:40,9.66
2014-04-15 22:41:29,4.56,,,2014-04-15 23:11:10,10.48
2014-04-15 22:41:59,4.47,,,2014-04-15 23:11:40,9.59
2014-04-15 22:42:29,4.39,,,2014-04-15 23:12:10,7.82
2014-04-15 22:42:59,4.23,,,2014-04-15 23:12:40,0.0
2014-04-15 22:43:29,4.1
2014-04-15 22:43:59,4.03
2014-04-15 22:44:29,3.95
