SAR_READS: io reads in mb/sec
Stage1,,Stage2,,Stage3
time in interval: 100s,average io reads in mb/sec per 30.0s,time in interval: 100s,average io reads in mb/sec per 30.0s,time in interval: 100s,average io reads in mb/sec per 30.0s
2014-04-15 22:28:29,0.100361328125,2014-04-15 22:46:14,0.0192822265625,2014-04-15 22:58:10,0.659130859375
2014-04-15 22:28:59,0.0,2014-04-15 22:46:44,0.0,2014-04-15 22:58:40,0.0
2014-04-15 22:29:29,0.0,2014-04-15 22:47:14,0.0,2014-04-15 22:59:10,0.0
2014-04-15 22:29:59,0.0,2014-04-15 22:47:44,0.0131689453125,2014-04-15 22:59:40,0.0
2014-04-15 22:30:29,0.0,2014-04-15 22:48:14,0.0,2014-04-15 23:00:10,0.0
2014-04-15 22:30:59,0.0,2014-04-15 22:48:44,0.0,2014-04-15 23:00:40,0.0
2014-04-15 22:31:29,0.0,2014-04-15 22:49:14,0.0,2014-04-15 23:01:10,0.0
2014-04-15 22:31:59,0.0,2014-04-15 22:49:44,0.002216796875,2014-04-15 23:01:40,0.0
2014-04-15 22:32:29,0.0,2014-04-15 22:50:14,0.0,2014-04-15 23:02:10,0.0
2014-04-15 22:32:59,0.0,2014-04-15 22:50:44,0.0,2014-04-15 23:02:40,0.0
2014-04-15 22:33:29,0.0,2014-04-15 22:51:14,0.0,2014-04-15 23:03:10,0.0
2014-04-15 22:33:59,0.0,2014-04-15 22:51:44,0.0,2014-04-15 23:03:40,0.0
2014-04-15 22:34:29,0.0,2014-04-15 22:52:14,0.0,2014-04-15 23:04:10,0.0
2014-04-15 22:34:59,0.0,2014-04-15 22:52:44,0.0,2014-04-15 23:04:40,0.0
2014-04-15 22:35:29,0.0,2014-04-15 22:53:14,0.0,2014-04-15 23:05:10,0.0
2014-04-15 22:35:59,0.0,2014-04-15 22:53:44,0.0,2014-04-15 23:05:40,0.0
2014-04-15 22:36:29,0.0,2014-04-15 22:54:14,0.0,2014-04-15 23:06:10,0.0
2014-04-15 22:36:59,0.0,2014-04-15 22:54:44,0.0,2014-04-15 23:06:40,0.0
2014-04-15 22:37:29,0.0013037109375,2014-04-15 22:55:14,0.0,2014-04-15 23:07:10,0.0
2014-04-15 22:37:59,0.0,2014-04-15 22:55:44,0.0,2014-04-15 23:07:40,0.0
2014-04-15 22:38:29,0.0,2014-04-15 22:56:14,0.0,2014-04-15 23:08:10,0.0
2014-04-15 22:38:59,0.0,,,2014-04-15 23:08:40,0.0
2014-04-15 22:39:29,0.0,,,2014-04-15 23:09:10,0.0
2014-04-15 22:39:59,0.0,,,2014-04-15 23:09:40,0.0
2014-04-15 22:40:29,0.0,,,2014-04-15 23:10:10,0.0
2014-04-15 22:40:59,0.0,,,2014-04-15 23:10:40,0.0
2014-04-15 22:41:29,0.0,,,2014-04-15 23:11:10,0.0
2014-04-15 22:41:59,0.0,,,2014-04-15 23:11:40,0.0
2014-04-15 22:42:29,0.0,,,2014-04-15 23:12:10,0.0142138671875
2014-04-15 22:42:59,0.0,,,2014-04-15 23:12:40,0.002998046875
2014-04-15 22:43:29,0.0
2014-04-15 22:43:59,0.0
2014-04-15 22:44:29,0.0
