SAR_WRITES: io writes in mb/sec
Stage1,,Stage2,,Stage3
time in interval: 100s,average io writes in mb/sec per 30.0s,time in interval: 100s,average io writes in mb/sec per 30.0s,time in interval: 100s,average io writes in mb/sec per 30.0s
2014-04-15 22:28:29,6.040546875,2014-04-15 22:46:14,0.5696484375,2014-04-15 22:58:10,2.3776708984375
2014-04-15 22:28:59,7.9431005859375,2014-04-15 22:46:44,0.772490234375,2014-04-15 22:58:40,2.4538427734375
2014-04-15 22:29:29,8.686162109375,2014-04-15 22:47:14,0.7234521484375,2014-04-15 22:59:10,4.302119140625
2014-04-15 22:29:59,7.6938916015625,2014-04-15 22:47:44,9.2573974609375,2014-04-15 22:59:40,3.9580615234375
2014-04-15 22:30:29,8.5798046875,2014-04-15 22:48:14,0.5477587890625,2014-04-15 23:00:10,3.9109716796875
2014-04-15 22:30:59,7.900537109375,2014-04-15 22:48:44,0.4334912109375,2014-04-15 23:00:40,3.806826171875
2014-04-15 22:31:29,7.7779833984375,2014-04-15 22:49:14,7.4459716796875,2014-04-15 23:01:10,3.94271484375
2014-04-15 22:31:59,7.80728515625,2014-04-15 22:49:44,6.2608203125,2014-04-15 23:01:40,3.7524365234375
2014-04-15 22:32:29,7.8005126953125,2014-04-15 22:50:14,7.45470703125,2014-04-15 23:02:10,3.586982421875
2014-04-15 22:32:59,8.0955615234375,2014-04-15 22:50:44,7.522138671875,2014-04-15 23:02:40,3.928828125
2014-04-15 22:33:29,9.1703662109375,2014-04-15 22:51:14,7.5289404296875,2014-04-15 23:03:10,3.81765625
2014-04-15 22:33:59,8.4146630859375,2014-04-15 22:51:44,7.5195947265625,2014-04-15 23:03:40,3.9178955078125
2014-04-15 22:34:29,7.8230615234375,2014-04-15 22:52:14,7.3706689453125,2014-04-15 23:04:10,3.764658203125
2014-04-15 22:34:59,7.7148779296875,2014-04-15 22:52:44,7.54787109375,2014-04-15 23:04:40,3.8847900390625
2014-04-15 22:35:29,7.7256640625,2014-04-15 22:53:14,7.4969775390625,2014-04-15 23:05:10,3.783017578125
2014-04-15 22:35:59,8.2668603515625,2014-04-15 22:53:44,7.618623046875,2014-04-15 23:05:40,4.062236328125
2014-04-15 22:36:29,7.8008935546875,2014-04-15 22:54:14,7.5059130859375,2014-04-15 23:06:10,3.7312255859375
2014-04-15 22:36:59,8.61263671875,2014-04-15 22:54:44,7.579169921875,2014-04-15 23:06:40,3.9348681640625
2014-04-15 22:37:29,9.041591796875,2014-04-15 22:55:14,7.4845703125,2014-04-15 23:07:10,4.0273681640625
2014-04-15 22:37:59,7.5833935546875,2014-04-15 22:55:44,7.547041015625,2014-04-15 23:07:40,3.8166796875
2014-04-15 22:38:29,7.4734912109375,2014-04-15 22:56:14,7.6662255859375,2014-04-15 23:08:10,3.8003955078125
2014-04-15 22:38:59,7.6162744140625,,,2014-04-15 23:08:40,4.03650390625
2014-04-15 22:39:29,7.5460009765625,,,2014-04-15 23:09:10,3.9588330078125
2014-04-15 22:39:59,7.28931640625,,,2014-04-15 23:09:40,4.133544921875
2014-04-15 22:40:29,7.5596435546875,,,2014-04-15 23:10:10,3.949580078125
2014-04-15 22:40:59,7.61119140625,,,2014-04-15 23:10:40,3.9732958984375
2014-04-15 22:41:29,7.4699853515625,,,2014-04-15 23:11:10,4.19525390625
2014-04-15 22:41:59,7.6385693359375,,,2014-04-15 23:11:40,4.4763427734375
2014-04-15 22:42:29,7.531787109375,,,2014-04-15 23:12:10,6.3166259765625
2014-04-15 22:42:59,7.487216796875,,,2014-04-15 23:12:40,0.36271484375
2014-04-15 22:43:29,7.633876953125
2014-04-15 22:43:59,7.5304833984375
2014-04-15 22:44:29,7.55291015625
