IOSTAT: time waiting on io
Stage1
time in interval: 100s,average time waiting on io per 30.0s
2014-04-15 22:27:59,19
2014-04-15 22:28:29,11
2014-04-15 22:28:59,16
2014-04-15 22:29:29,33
2014-04-15 22:29:59,29
2014-04-15 22:30:29,28
2014-04-15 22:30:59,29
2014-04-15 22:31:29,20
2014-04-15 22:31:59,26
2014-04-15 22:32:29,28
2014-04-15 22:32:59,24
2014-04-15 22:33:29,34
2014-04-15 22:33:59,9
2014-04-15 22:34:29,15
2014-04-15 22:34:59,15
2014-04-15 22:35:29,11
2014-04-15 22:35:59,15
2014-04-15 22:36:29,14
2014-04-15 22:36:59,16
2014-04-15 22:37:29,12
2014-04-15 22:37:59,19
2014-04-15 22:38:29,14
2014-04-15 22:38:59,23
2014-04-15 22:39:29,24
2014-04-15 22:39:59,22
2014-04-15 22:40:29,23
2014-04-15 22:40:59,16
2014-04-15 22:41:29,18
2014-04-15 22:41:59,22
2014-04-15 22:42:29,15
2014-04-15 22:42:59,19
2014-04-15 22:43:29,17
2014-04-15 22:43:59,14
2014-04-15 22:44:29,22
