SAR: cpu load (all cores)
Stage1
time in interval: 100s,average cpu load (all cores) per 30.0s
2014-04-15 22:28:29,13.31
2014-04-15 22:28:59,15.07
2014-04-15 22:29:29,12.87
2014-04-15 22:29:59,15.66
2014-04-15 22:30:29,10.22
2014-04-15 22:30:59,13.8
2014-04-15 22:31:29,16.68
2014-04-15 22:31:59,14.44
2014-04-15 22:32:29,11.4
2014-04-15 22:32:59,12.74
2014-04-15 22:33:29,11.43
2014-04-15 22:33:59,13.79
2014-04-15 22:34:29,9.95
2014-04-15 22:34:59,13.95
2014-04-15 22:35:29,15.21
2014-04-15 22:35:59,10.51
2014-04-15 22:36:29,15.25
2014-04-15 22:36:59,12.85
2014-04-15 22:37:29,11.89
2014-04-15 22:37:59,4.41
2014-04-15 22:38:29,4.14
2014-04-15 22:38:59,4.3
2014-04-15 22:39:29,4.26
2014-04-15 22:39:59,4.41
2014-04-15 22:40:29,4.43
2014-04-15 22:40:59,4.6
2014-04-15 22:41:29,4.56
2014-04-15 22:41:59,4.47
2014-04-15 22:42:29,4.39
2014-04-15 22:42:59,4.23
2014-04-15 22:43:29,4.1
2014-04-15 22:43:59,4.03
2014-04-15 22:44:29,3.95
