SAR_READS: io reads in mb/sec
Stage1
time in interval: 100s,average io reads in mb/sec per 30.0s
2014-04-15 22:28:29,0.100361328125
2014-04-15 22:28:59,0.0
2014-04-15 22:29:29,0.0
2014-04-15 22:29:59,0.0
2014-04-15 22:30:29,0.0
2014-04-15 22:30:59,0.0
2014-04-15 22:31:29,0.0
2014-04-15 22:31:59,0.0
2014-04-15 22:32:29,0.0
2014-04-15 22:32:59,0.0
2014-04-15 22:33:29,0.0
2014-04-15 22:33:59,0.0
2014-04-15 22:34:29,0.0
2014-04-15 22:34:59,0.0
2014-04-15 22:35:29,0.0
2014-04-15 22:35:59,0.0
2014-04-15 22:36:29,0.0
2014-04-15 22:36:59,0.0
2014-04-15 22:37:29,0.0013037109375
2014-04-15 22:37:59,0.0
2014-04-15 22:38:29,0.0
2014-04-15 22:38:59,0.0
2014-04-15 22:39:29,0.0
2014-04-15 22:39:59,0.0
2014-04-15 22:40:29,0.0
2014-04-15 22:40:59,0.0
2014-04-15 22:41:29,0.0
2014-04-15 22:41:59,0.0
2014-04-15 22:42:29,0.0
2014-04-15 22:42:59,0.0
2014-04-15 22:43:29,0.0
2014-04-15 22:43:59,0.0
2014-04-15 22:44:29,0.0
